"Pipe ID","Pipeline","Start Chainage","End Chainage","SC(m)","EC (m)","Area m2","Timber Density HEAVY/LIGHT/TRIM","Other Information","Loaded to Master Register?"
"VEG_PLE027","PLE","7.89","7.31","","","119","HEAVY","1 LARGE TREE","NOT LOADED - section not in register"
"VEG_PLE028","PLE","8.12","8.13","","","19.3","LIGHT","1 SMALL TREE","NOT LOADED - section not in register"
"VEG_PLE029","PLE","8.2","8.22","","","125","HEAVY","1 LARGE TREE","NOT LOADED - section not in register"
"VEG_PLE030","PLE","8.45","8.47","","","159","HEAVY","3 LARGE TREES","NOT LOADED - section not in register"
"VEG_PLE031","PLE","8.82","8.83","","","136","HEAVY","1 LARGE TREE","NOT LOADED - section not in register"
"VEG_PLE032","PLE","8.87","8.88","","","90.4","HEAVY","1 LARGE TREE","NOT LOADED - section not in register"
"VEG_PEL001","PEL","0.15","0.18","","","97.1","TRIM","1 LARGE TREE","NOT LOADED - section not in register"
"VEG_PEL002","PEL","0.36","0.42","","","1081","HEAVY","3 LARGE TREES","NOT LOADED - section not in register"
"VEG_PEL003","PEL","4.58","4.59","","","208","HEAVY","1 LARGE TREE","NOT LOADED - section not in register"
"VEG_PEL004","PEL","4.87","4.91","","","288","HEAVY","2 LARGE TREES","NOT LOADED - section not in register"
"VEG_PEL005","PEL","5.71","5.74","","","195","TRIM","3 LARGE TREES","NOT LOADED - section not in register"
"VEG_PEL006","PEL","8.38","8.4","","","228","HEAVY","1 LARGE TREE","NOT LOADED - section not in register"
"VEG_PEL007","PEL","8.49","8.52","","","171","HEAVY","1 LARGE TREE","NOT LOADED - section not in register"
"VEG_PEL008","PEL","8.53","8.55","","","167","TRIM","3 LARGE TREES","NOT LOADED - section not in register"
"VEG_PEL009","PEL","8.58","8.59","","","142","HEAVY","1 LARGE TREE, 1 SMALL TREE","NOT LOADED - section not in register"
